CREATE TABLE Customer (
    CustomerID INT PRIMARY KEY,
    Name VARCHAR(100),
    Age INT,
    Gender VARCHAR(10),
    SubscriptionType VARCHAR(20),
    SubscriptionDate DATE,
    LastLoginDate DATE,
    TotalSessions INT,
    FeedbackScore INT,
    IsChurned INT
);



INSERT INTO Customer VALUES (1, 'Mahesh Gupta_1', 24, 'Male', 'Premium', '2024-01-18', '2026-03-13', 113, 2, 0);
INSERT INTO Customer VALUES (802, 'Rohan Trivedi_802', 56, 'Male', 'Premium', '2026-04-16', '2026-03-08', 389, 1, 0);
INSERT INTO Customer VALUES (803, 'Reyansh Kumar_803', 44, 'Female', 'Basic', '2023-11-11', '2026-04-20', 12, 4, 0);
INSERT INTO Customer VALUES (804, 'Vivaan Bansal_804', 35, 'Other', 'Standard', '2025-03-25', '2026-01-29', 353, 3, 1);
INSERT INTO Customer VALUES (805, 'Suresh Sharma_805', 66, 'Male', 'Premium', '2024-08-26', '2026-04-20', 279, 3, 0);
INSERT INTO Customer VALUES (806, 'Mahesh Menon_806', 37, 'Other', 'Standard', '2024-07-11', '2026-04-01', 309, 3, 0);
INSERT INTO Customer VALUES (807, 'Mahesh Joshi_807', 40, 'Other', 'Premium', '2024-04-17', '2026-03-19', 369, 3, 0);
INSERT INTO Customer VALUES (808, 'Suresh Kulkarni_808', 64, 'Female', 'Standard', '2025-11-24', '2026-03-02', 382, 3, 1);
INSERT INTO Customer VALUES (809, 'Sai Pandya_809', 30, 'Female', 'Basic', '2025-02-14', '2026-03-25', 164, 4, 1);
INSERT INTO Customer VALUES (810, 'Saanvi Chatterjee_810', 62, 'Male', 'Standard', '2025-04-14', '2026-03-17', 180, 5, 0);
INSERT INTO Customer VALUES (811, 'Myra Yadav_811', 48, 'Male', 'Premium', '2024-04-26', '2026-02-12', 411, 4, 0);
INSERT INTO Customer VALUES (812, 'Ishaan Das_812', 52, 'Other', 'Basic', '2024-02-06', '2026-02-28', 489, 2, 1);
INSERT INTO Customer VALUES (813, 'Diya Singh_813', 55, 'Female', 'Standard', '2023-10-08', '2026-04-03', 151, 3, 1);
INSERT INTO Customer VALUES (814, 'Shaurya Joshi_814', 53, 'Female', 'Standard', '2024-06-18', '2026-03-05', 317, 2, 1);
INSERT INTO Customer VALUES (815, 'Myra Das_815', 44, 'Female', 'Standard', '2025-01-07', '2026-03-06', 2, 1, 1);
INSERT INTO Customer VALUES (816, 'Suresh Shetty_816', 61, 'Female', 'Basic', '2025-10-22', '2026-03-17', 158, 3, 0);
INSERT INTO Customer VALUES (817, 'Arjun Chauhan_817', 26, 'Male', 'Basic', '2024-05-08', '2026-03-30', 443, 1, 0);
INSERT INTO Customer VALUES (818, 'Nisha Joshi_818', 60, 'Male', 'Standard', '2024-11-20', '2026-01-31', 118, 3, 1);
INSERT INTO Customer VALUES (819, 'Vikas Shah_819', 21, 'Male', 'Standard', '2026-03-09', '2026-03-17', 102, 1, 1);
INSERT INTO Customer VALUES (820, 'Nisha Nair_820', 25, 'Other', 'Premium', '2024-02-25', '2026-01-26', 177, 4, 0);
INSERT INTO Customer VALUES (821, 'Rohan Verma_821', 20, 'Male', 'Premium', '2024-06-10', '2026-04-13', 216, 1, 1);
INSERT INTO Customer VALUES (822, 'Sneha Chauhan_822', 34, 'Other', 'Basic', '2024-10-29', '2026-02-24', 130, 1, 1);
INSERT INTO Customer VALUES (823, 'Rohan Reddy_823', 43, 'Female', 'Premium', '2023-12-06', '2026-01-29', 89, 4, 1);
INSERT INTO Customer VALUES (824, 'Shaurya Iyer_824', 51, 'Male', 'Standard', '2024-12-21', '2026-02-24', 154, 5, 0);
INSERT INTO Customer VALUES (825, 'Ishaan Menon_825', 39, 'Male', 'Premium', '2026-01-20', '2026-02-02', 407, 3, 0);
INSERT INTO Customer VALUES (826, 'Navya Sharma_826', 53, 'Female', 'Basic', '2025-10-13', '2026-02-28', 168, 2, 1);
INSERT INTO Customer VALUES (827, 'Meera Patel_827', 35, 'Male', 'Standard', '2024-03-08', '2026-03-20', 384, 1, 0);
INSERT INTO Customer VALUES (828, 'Krishna Singh_828', 68, 'Female', 'Standard', '2024-08-11', '2026-03-02', 201, 5, 1);
INSERT INTO Customer VALUES (829, 'Saanvi Nair_829', 60, 'Female', 'Basic', '2024-02-18', '2026-04-20', 308, 2, 0);
INSERT INTO Customer VALUES (830, 'Rohan Patel_830', 25, 'Male', 'Basic', '2026-04-18', '2026-03-20', 186, 1, 1);
INSERT INTO Customer VALUES (831, 'Aadhya Jain_831', 19, 'Male', 'Premium', '2024-05-07', '2026-04-04', 430, 4, 1);
INSERT INTO Customer VALUES (832, 'Vivaan Reddy_832', 34, 'Female', 'Premium', '2025-12-18', '2026-02-22', 47, 5, 0);
INSERT INTO Customer VALUES (833, 'Rohan Joshi_833', 43, 'Male', 'Premium', '2024-10-22', '2026-03-29', 17, 1, 0);
INSERT INTO Customer VALUES (834, 'Sai Reddy_834', 63, 'Other', 'Basic', '2025-02-14', '2026-04-22', 131, 5, 0);
INSERT INTO Customer VALUES (835, 'Aadhya Shetty_835', 50, 'Male', 'Standard', '2025-03-28', '2026-03-16', 149, 3, 1);
INSERT INTO Customer VALUES (836, 'Aarav Joshi_836', 41, 'Other', 'Standard', '2026-02-10', '2026-03-13', 163, 3, 1);
INSERT INTO Customer VALUES (837, 'Deepak Pillai_837', 53, 'Female', 'Premium', '2024-05-19', '2026-04-11', 1, 4, 1);
INSERT INTO Customer VALUES (838, 'Vivaan Joshi_838', 22, 'Other', 'Premium', '2025-06-09', '2026-02-09', 254, 1, 0);
INSERT INTO Customer VALUES (839, 'Aanya Agarwal_839', 32, 'Male', 'Basic', '2024-01-10', '2026-02-16', 29, 5, 0);
INSERT INTO Customer VALUES (840, 'Aarav Yadav_840', 34, 'Other', 'Premium', '2025-10-19', '2026-04-18', 49, 4, 0);
INSERT INTO Customer VALUES (841, 'Shaurya Kulkarni_841', 25, 'Male', 'Basic', '2023-11-17', '2026-03-17', 180, 1, 1);
INSERT INTO Customer VALUES (842, 'Suresh Shetty_842', 32, 'Male', 'Basic', '2025-12-30', '2026-04-17', 406, 3, 0);
INSERT INTO Customer VALUES (843, 'Meera Pillai_843', 65, 'Male', 'Standard', '2024-12-26', '2026-01-31', 62, 1, 1);
INSERT INTO Customer VALUES (844, 'Myra Pandya_844', 44, 'Male', 'Standard', '2024-11-12', '2026-03-09', 179, 3, 0);
INSERT INTO Customer VALUES (845, 'Ishaan Naidu_845', 49, 'Male', 'Premium', '2025-07-30', '2026-01-31', 55, 2, 1);
INSERT INTO Customer VALUES (846, 'Pari Joshi_846', 66, 'Other', 'Standard', '2023-12-08', '2026-03-31', 141, 5, 1);
INSERT INTO Customer VALUES (847, 'Ishaan Mishra_847', 51, 'Female', 'Basic', '2025-10-31', '2026-01-27', 313, 4, 0);
INSERT INTO Customer VALUES (848, 'Aadhya Nair_848', 47, 'Female', 'Standard', '2024-06-10', '2026-04-27', 179, 5, 1);
INSERT INTO Customer VALUES (849, 'Anika Gupta_849', 44, 'Male', 'Basic', '2023-08-14', '2026-02-20', 153, 4, 0);
INSERT INTO Customer VALUES (850, 'Meera Shah_850', 66, 'Female', 'Standard', '2023-09-12', '2026-04-24', 196, 3, 0);
INSERT INTO Customer VALUES (851, 'Aditya Singh_851', 50, 'Female', 'Standard', '2023-08-31', '2026-04-09', 182, 2, 1);
INSERT INTO Customer VALUES (852, 'Neha Iyer_852', 55, 'Other', 'Standard', '2025-06-04', '2026-02-04', 406, 3, 1);
INSERT INTO Customer VALUES (853, 'Anika Verma_853', 55, 'Female', 'Basic', '2023-09-06', '2026-04-10', 124, 2, 0);
INSERT INTO Customer VALUES (854, 'Priya Shah_854', 43, 'Female', 'Premium', '2024-01-15', '2026-01-29', 319, 1, 1);
INSERT INTO Customer VALUES (855, 'Anika Desai_855', 37, 'Female', 'Basic', '2025-07-08', '2026-01-19', 194, 5, 1);
INSERT INTO Customer VALUES (856, 'Nitin Chatterjee_856', 63, 'Female', 'Standard', '2023-10-03', '2026-01-31', 131, 1, 0);
INSERT INTO Customer VALUES (857, 'Alok Kumar_857', 40, 'Female', 'Standard', '2024-05-10', '2026-02-18', 22, 3, 1);
INSERT INTO Customer VALUES (858, 'Alok Mehta_858', 46, 'Female', 'Standard', '2024-06-10', '2026-01-29', 493, 3, 0);
INSERT INTO Customer VALUES (859, 'Saanvi Pillai_859', 60, 'Male', 'Premium', '2024-05-29', '2026-03-15', 229, 5, 0);
INSERT INTO Customer VALUES (860, 'Aanya Reddy_860', 19, 'Female', 'Standard', '2024-04-04', '2026-01-30', 339, 1, 0);
INSERT INTO Customer VALUES (861, 'Vihaan Pillai_861', 52, 'Male', 'Basic', '2025-09-23', '2026-03-27', 15, 1, 1);
INSERT INTO Customer VALUES (862, 'Vikas Das_862', 23, 'Male', 'Standard', '2025-04-28', '2026-01-20', 389, 1, 0);
INSERT INTO Customer VALUES (863, 'Saanvi Agarwal_863', 67, 'Other', 'Basic', '2025-07-01', '2026-02-18', 194, 4, 1);
INSERT INTO Customer VALUES (864, 'Riya Patel_864', 63, 'Female', 'Premium', '2023-11-15', '2026-04-14', 208, 1, 1);
INSERT INTO Customer VALUES (865, 'Aadhya Verma_865', 27, 'Female', 'Standard', '2023-09-01', '2026-01-20', 206, 1, 1);
INSERT INTO Customer VALUES (866, 'Deepak Sharma_866', 19, 'Female', 'Basic', '2025-08-23', '2026-03-31', 365, 1, 1);
INSERT INTO Customer VALUES (867, 'Nisha Trivedi_867', 66, 'Other', 'Standard', '2025-02-24', '2026-04-05', 21, 2, 0);
INSERT INTO Customer VALUES (868, 'Myra Desai_868', 24, 'Other', 'Standard', '2025-04-27', '2026-03-21', 196, 2, 0);
INSERT INTO Customer VALUES (869, 'Ishaan Ghosh_869', 36, 'Other', 'Premium', '2024-08-11', '2026-02-19', 355, 3, 1);
INSERT INTO Customer VALUES (870, 'Karan Mishra_870', 41, 'Male', 'Standard', '2024-12-31', '2026-01-18', 313, 1, 1);
INSERT INTO Customer VALUES (871, 'Diya Yadav_871', 40, 'Other', 'Premium', '2024-08-23', '2026-01-26', 162, 3, 1);
INSERT INTO Customer VALUES (872, 'Kavya Mishra_872', 56, 'Female', 'Premium', '2024-03-06', '2026-03-21', 0, 3, 0);
INSERT INTO Customer VALUES (873, 'Vikas Patel_873', 26, 'Female', 'Basic', '2024-09-07', '2026-02-22', 155, 3, 1);
INSERT INTO Customer VALUES (874, 'Shaurya Menon_874', 49, 'Female', 'Basic', '2024-12-07', '2026-02-26', 268, 3, 0);
INSERT INTO Customer VALUES (875, 'Meera Bansal_875', 30, 'Female', 'Basic', '2026-04-04', '2026-03-31', 221, 5, 0);
INSERT INTO Customer VALUES (876, 'Riya Das_876', 55, 'Female', 'Premium', '2024-03-27', '2026-04-23', 370, 5, 1);
INSERT INTO Customer VALUES (877, 'Nisha Naidu_877', 54, 'Male', 'Standard', '2024-03-15', '2026-03-15', 320, 2, 0);
INSERT INTO Customer VALUES (878, 'Diya Menon_878', 20, 'Other', 'Premium', '2024-04-11', '2026-03-11', 443, 1, 0);
INSERT INTO Customer VALUES (879, 'Vivaan Desai_879', 55, 'Male', 'Standard', '2023-12-24', '2026-04-21', 237, 5, 1);
INSERT INTO Customer VALUES (880, 'Diya Nair_880', 63, 'Female', 'Standard', '2025-04-08', '2026-04-15', 469, 3, 0);
INSERT INTO Customer VALUES (881, 'Nisha Singh_881', 22, 'Male', 'Standard', '2025-03-01', '2026-03-04', 21, 1, 1);
INSERT INTO Customer VALUES (882, 'Neha Desai_882', 25, 'Other', 'Premium', '2025-07-26', '2026-03-08', 27, 2, 0);
INSERT INTO Customer VALUES (883, 'Rohan Reddy_883', 48, 'Other', 'Standard', '2025-11-20', '2026-04-19', 81, 4, 0);
INSERT INTO Customer VALUES (884, 'Mahesh Naidu_884', 20, 'Female', 'Premium', '2024-11-03', '2026-04-18', 78, 1, 1);
INSERT INTO Customer VALUES (885, 'Amit Shetty_885', 43, 'Female', 'Standard', '2025-10-16', '2026-02-01', 377, 4, 1);
INSERT INTO Customer VALUES (886, 'Simran Chatterjee_886', 55, 'Female', 'Basic', '2025-04-26', '2026-04-17', 301, 5, 0);
INSERT INTO Customer VALUES (887, 'Diya Mehta_887', 48, 'Other', 'Premium', '2023-10-09', '2026-02-14', 22, 4, 1);
INSERT INTO Customer VALUES (888, 'Neha Kumar_888', 29, 'Male', 'Premium', '2023-12-11', '2026-02-10', 464, 2, 0);
INSERT INTO Customer VALUES (889, 'Sai Nair_889', 32, 'Male', 'Basic', '2026-02-22', '2026-02-11', 313, 2, 0);
INSERT INTO Customer VALUES (890, 'Ishaan Das_890', 51, 'Female', 'Standard', '2024-01-06', '2026-02-26', 465, 4, 0);
INSERT INTO Customer VALUES (891, 'Ira Verma_891', 33, 'Other', 'Standard', '2026-02-23', '2026-01-23', 247, 5, 0);
INSERT INTO Customer VALUES (892, 'Ira Pandya_892', 30, 'Female', 'Basic', '2025-12-19', '2026-03-28', 340, 2, 0);
INSERT INTO Customer VALUES (893, 'Saanvi Shah_893', 62, 'Male', 'Standard', '2024-12-26', '2026-03-23', 383, 5, 0);
INSERT INTO Customer VALUES (894, 'Aditya Chatterjee_894', 38, 'Other', 'Standard', '2025-07-30', '2026-04-24', 158, 2, 1);
INSERT INTO Customer VALUES (895, 'Deepak Menon_895', 65, 'Other', 'Premium', '2024-11-17', '2026-01-28', 235, 1, 0);
INSERT INTO Customer VALUES (896, 'Aarav Mishra_896', 64, 'Other', 'Standard', '2025-02-12', '2026-03-05', 301, 2, 1);
INSERT INTO Customer VALUES (897, 'Pari Das_897', 62, 'Female', 'Premium', '2025-10-14', '2026-02-07', 398, 2, 1);
INSERT INTO Customer VALUES (898, 'Myra Desai_898', 35, 'Other', 'Standard', '2023-11-14', '2026-01-21', 125, 2, 0);
INSERT INTO Customer VALUES (899, 'Ankit Kumar_899', 62, 'Female', 'Basic', '2025-11-07', '2026-03-23', 217, 2, 0);
INSERT INTO Customer VALUES (900, 'Krishna Bansal_900', 65, 'Male', 'Standard', '2026-01-14', '2026-01-18', 154, 1, 1);
INSERT INTO Customer VALUES (901, 'Saanvi Kumar_901', 24, 'Female', 'Standard', '2025-09-17', '2026-03-17', 309, 1, 0);
INSERT INTO Customer VALUES (902, 'Nisha Pillai_902', 57, 'Other', 'Basic', '2024-04-25', '2026-04-26', 14, 5, 0);
INSERT INTO Customer VALUES (903, 'Anika Nair_903', 38, 'Male', 'Basic', '2025-12-05', '2026-04-22', 136, 1, 1);
INSERT INTO Customer VALUES (904, 'Deepak Jain_904', 32, 'Male', 'Premium', '2024-08-08', '2026-04-15', 306, 5, 1);
INSERT INTO Customer VALUES (905, 'Navya Kulkarni_905', 34, 'Female', 'Standard', '2023-12-19', '2026-04-02', 84, 3, 1);
INSERT INTO Customer VALUES (906, 'Arjun Bansal_906', 34, 'Female', 'Basic', '2024-10-18', '2026-03-09', 423, 1, 0);
INSERT INTO Customer VALUES (907, 'Arjun Pandya_907', 26, 'Male', 'Basic', '2025-02-12', '2026-01-30', 49, 5, 1);
INSERT INTO Customer VALUES (908, 'Aditya Yadav_908', 57, 'Female', 'Basic', '2024-05-10', '2026-04-05', 174, 4, 1);
INSERT INTO Customer VALUES (909, 'Riya Yadav_909', 49, 'Other', 'Premium', '2023-12-18', '2026-03-03', 478, 3, 0);
INSERT INTO Customer VALUES (910, 'Priya Bansal_910', 19, 'Male', 'Premium', '2025-02-02', '2026-02-09', 319, 5, 0);
INSERT INTO Customer VALUES (911, 'Rohan Menon_911', 25, 'Male', 'Premium', '2026-01-13', '2026-01-29', 50, 3, 0);
INSERT INTO Customer VALUES (912, 'Pooja Chatterjee_912', 25, 'Female', 'Standard', '2024-06-19', '2026-02-06', 288, 2, 0);
INSERT INTO Customer VALUES (913, 'Ishaan Menon_913', 20, 'Other', 'Standard', '2025-06-12', '2026-03-08', 257, 3, 0);
INSERT INTO Customer VALUES (914, 'Vivaan Shah_914', 43, 'Female', 'Premium', '2026-03-14', '2026-04-21', 72, 1, 0);
INSERT INTO Customer VALUES (915, 'Deepak Trivedi_915', 36, 'Other', 'Premium', '2024-01-13', '2026-01-25', 308, 1, 0);
INSERT INTO Customer VALUES (916, 'Simran Naidu_916', 33, 'Female', 'Basic', '2023-10-22', '2026-04-10', 30, 3, 1);
INSERT INTO Customer VALUES (917, 'Vivaan Shetty_917', 50, 'Male', 'Premium', '2024-10-24', '2026-02-03', 141, 4, 0);
INSERT INTO Customer VALUES (918, 'Amit Kulkarni_918', 50, 'Female', 'Basic', '2025-05-29', '2026-01-24', 472, 2, 1);
INSERT INTO Customer VALUES (919, 'Anaya Kumar_919', 53, 'Male', 'Premium', '2024-06-28', '2026-03-25', 317, 4, 0);
INSERT INTO Customer VALUES (920, 'Karan Patel_920', 24, 'Female', 'Standard', '2025-01-18', '2026-04-28', 412, 4, 1);
INSERT INTO Customer VALUES (921, 'Aanya Pandya_921', 27, 'Other', 'Basic', '2023-11-18', '2026-02-10', 113, 4, 0);
INSERT INTO Customer VALUES (922, 'Aditya Patel_922', 43, 'Female', 'Premium', '2025-08-29', '2026-04-03', 307, 4, 0);
INSERT INTO Customer VALUES (923, 'Sai Menon_923', 33, 'Female', 'Premium', '2025-10-24', '2026-04-09', 43, 4, 0);
INSERT INTO Customer VALUES (924, 'Arjun Chatterjee_924', 54, 'Female', 'Standard', '2025-02-13', '2026-04-11', 132, 4, 0);
INSERT INTO Customer VALUES (925, 'Ira Naidu_925', 59, 'Female', 'Premium', '2024-02-26', '2026-03-30', 374, 5, 1);
INSERT INTO Customer VALUES (926, 'Pari Chatterjee_926', 30, 'Female', 'Premium', '2023-08-23', '2026-02-18', 194, 1, 1);
INSERT INTO Customer VALUES (927, 'Anaya Desai_927', 58, 'Other', 'Premium', '2025-04-19', '2026-02-17', 346, 2, 0);
INSERT INTO Customer VALUES (928, 'Aadhya Trivedi_928', 33, 'Other', 'Basic', '2024-11-15', '2026-04-15', 337, 5, 0);
INSERT INTO Customer VALUES (929, 'Reyansh Joshi_929', 50, 'Male', 'Standard', '2026-01-07', '2026-03-01', 4, 1, 0);
INSERT INTO Customer VALUES (930, 'Rohan Gupta_930', 24, 'Other', 'Premium', '2025-09-13', '2026-02-20', 1, 5, 0);
INSERT INTO Customer VALUES (931, 'Priya Kapoor_931', 29, 'Female', 'Standard', '2024-03-16', '2026-03-12', 146, 4, 0);
INSERT INTO Customer VALUES (932, 'Kavya Kapoor_932', 59, 'Other', 'Basic', '2025-12-16', '2026-01-19', 155, 2, 1);
INSERT INTO Customer VALUES (933, 'Nisha Reddy_933', 27, 'Male', 'Premium', '2024-08-30', '2026-04-05', 386, 4, 1);
INSERT INTO Customer VALUES (934, 'Navya Das_934', 26, 'Other', 'Standard', '2024-06-06', '2026-01-26', 92, 4, 0);
INSERT INTO Customer VALUES (935, 'Deepak Chauhan_935', 57, 'Other', 'Basic', '2023-10-31', '2026-03-12', 190, 2, 0);
INSERT INTO Customer VALUES (936, 'Anika Patel_936', 35, 'Male', 'Basic', '2023-10-18', '2026-04-26', 63, 3, 0);
INSERT INTO Customer VALUES (937, 'Mahesh Naidu_937', 23, 'Female', 'Premium', '2024-07-23', '2026-03-31', 300, 5, 1);
INSERT INTO Customer VALUES (938, 'Sai Gupta_938', 49, 'Female', 'Basic', '2025-01-07', '2026-02-06', 239, 5, 1);
INSERT INTO Customer VALUES (939, 'Pooja Patel_939', 49, 'Female', 'Premium', '2024-06-13', '2026-02-20', 297, 1, 0);
INSERT INTO Customer VALUES (940, 'Aanya Yadav_940', 42, 'Other', 'Basic', '2024-01-01', '2026-04-28', 176, 1, 0);
INSERT INTO Customer VALUES (941, 'Pari Sharma_941', 24, 'Other', 'Basic', '2026-04-18', '2026-02-15', 498, 5, 0);
INSERT INTO Customer VALUES (942, 'Amit Naidu_942', 63, 'Other', 'Standard', '2024-05-06', '2026-04-26', 155, 4, 1);
INSERT INTO Customer VALUES (943, 'Neha Patel_943', 26, 'Female', 'Standard', '2023-12-19', '2026-04-05', 201, 3, 1);
INSERT INTO Customer VALUES (944, 'Reyansh Mehta_944', 43, 'Male', 'Premium', '2024-11-27', '2026-04-19', 415, 4, 1);
INSERT INTO Customer VALUES (945, 'Mahesh Yadav_945', 63, 'Other', 'Premium', '2025-09-13', '2026-03-15', 269, 3, 0);
INSERT INTO Customer VALUES (946, 'Karan Trivedi_946', 56, 'Other', 'Standard', '2025-01-02', '2026-03-04', 110, 5, 1);
INSERT INTO Customer VALUES (947, 'Vihaan Singh_947', 19, 'Other', 'Standard', '2025-12-15', '2026-02-18', 459, 4, 0);
INSERT INTO Customer VALUES (948, 'Simran Kulkarni_948', 41, 'Female', 'Standard', '2024-10-02', '2026-04-23', 37, 4, 1);
INSERT INTO Customer VALUES (949, 'Myra Kapoor_949', 67, 'Other', 'Standard', '2025-06-20', '2026-01-25', 14, 1, 0);
INSERT INTO Customer VALUES (950, 'Alok Pandya_950', 22, 'Other', 'Standard', '2024-11-09', '2026-01-19', 454, 4, 0);
INSERT INTO Customer VALUES (951, 'Aditya Iyer_951', 52, 'Female', 'Premium', '2024-05-03', '2026-01-26', 330, 2, 0);
INSERT INTO Customer VALUES (952, 'Nisha Chauhan_952', 33, 'Male', 'Premium', '2024-05-25', '2026-04-03', 235, 3, 0);
INSERT INTO Customer VALUES (953, 'Rohan Naidu_953', 49, 'Other', 'Basic', '2024-07-14', '2026-02-09', 236, 2, 0);
INSERT INTO Customer VALUES (954, 'Myra Mehta_954', 27, 'Other', 'Standard', '2025-02-21', '2026-03-30', 438, 3, 1);
INSERT INTO Customer VALUES (955, 'Diya Mehta_955', 21, 'Female', 'Premium', '2024-05-28', '2026-01-21', 45, 4, 1);
INSERT INTO Customer VALUES (956, 'Shaurya Das_956', 42, 'Male', 'Standard', '2024-04-19', '2026-04-20', 389, 1, 1);
INSERT INTO Customer VALUES (957, 'Amit Trivedi_957', 41, 'Male', 'Premium', '2023-11-10', '2026-04-04', 424, 2, 1);
INSERT INTO Customer VALUES (958, 'Navya Agarwal_958', 67, 'Male', 'Standard', '2024-01-29', '2026-02-18', 170, 2, 0);
INSERT INTO Customer VALUES (959, 'Alok Mehta_959', 43, 'Other', 'Premium', '2024-08-09', '2026-03-02', 279, 1, 1);
INSERT INTO Customer VALUES (960, 'Aditya Patel_960', 63, 'Male', 'Basic', '2024-04-11', '2026-02-15', 232, 2, 1);
INSERT INTO Customer VALUES (961, 'Ankit Agarwal_961', 21, 'Other', 'Basic', '2024-08-18', '2026-02-08', 277, 4, 1);
INSERT INTO Customer VALUES (962, 'Suresh Ghosh_962', 65, 'Other', 'Standard', '2024-08-11', '2026-03-05', 267, 4, 1);
INSERT INTO Customer VALUES (963, 'Anaya Bansal_963', 56, 'Female', 'Premium', '2024-07-21', '2026-02-18', 323, 5, 1);
INSERT INTO Customer VALUES (964, 'Arjun Kumar_964', 57, 'Female', 'Basic', '2024-10-11', '2026-03-21', 250, 5, 1);
INSERT INTO Customer VALUES (965, 'Aarav Pandya_965', 58, 'Other', 'Basic', '2025-05-26', '2026-04-18', 65, 3, 1);
INSERT INTO Customer VALUES (966, 'Diya Mishra_966', 55, 'Female', 'Premium', '2024-03-04', '2026-04-09', 191, 5, 1);
INSERT INTO Customer VALUES (967, 'Priya Naidu_967', 27, 'Other', 'Basic', '2026-02-05', '2026-03-24', 105, 5, 1);
INSERT INTO Customer VALUES (968, 'Diya Trivedi_968', 62, 'Other', 'Standard', '2026-01-19', '2026-03-23', 359, 2, 1);
INSERT INTO Customer VALUES (969, 'Priya Menon_969', 57, 'Other', 'Premium', '2024-01-21', '2026-04-25', 105, 5, 0);
INSERT INTO Customer VALUES (970, 'Ankit Iyer_970', 68, 'Male', 'Standard', '2026-03-05', '2026-04-12', 413, 5, 1);
INSERT INTO Customer VALUES (971, 'Sneha Pillai_971', 43, 'Other', 'Basic', '2023-10-06', '2026-03-31', 299, 3, 0);
INSERT INTO Customer VALUES (972, 'Vihaan Sharma_972', 49, 'Female', 'Premium', '2024-02-10', '2026-02-07', 52, 1, 1);
INSERT INTO Customer VALUES (973, 'Rohan Kulkarni_973', 24, 'Female', 'Standard', '2024-09-18', '2026-02-02', 22, 4, 0);
INSERT INTO Customer VALUES (974, 'Rohan Pillai_974', 19, 'Female', 'Standard', '2025-08-17', '2026-02-20', 498, 1, 1);
INSERT INTO Customer VALUES (975, 'Meera Kapoor_975', 27, 'Male', 'Standard', '2024-12-10', '2026-04-10', 25, 2, 0);
INSERT INTO Customer VALUES (976, 'Saanvi Pandya_976', 19, 'Other', 'Basic', '2025-09-02', '2026-03-16', 60, 5, 0);
INSERT INTO Customer VALUES (977, 'Vivaan Chauhan_977', 51, 'Other', 'Basic', '2023-08-11', '2026-01-20', 375, 2, 0);
INSERT INTO Customer VALUES (978, 'Diya Agarwal_978', 26, 'Female', 'Basic', '2024-01-05', '2026-03-29', 90, 2, 0);
INSERT INTO Customer VALUES (979, 'Meera Menon_979', 18, 'Female', 'Standard', '2023-12-21', '2026-03-27', 238, 5, 1);
INSERT INTO Customer VALUES (980, 'Krishna Pillai_980', 46, 'Male', 'Basic', '2025-10-04', '2026-01-27', 398, 5, 1);
INSERT INTO Customer VALUES (981, 'Aditya Verma_981', 18, 'Other', 'Standard', '2023-08-07', '2026-01-25', 171, 3, 0);
INSERT INTO Customer VALUES (982, 'Anaya Reddy_982', 20, 'Male', 'Premium', '2024-10-23', '2026-03-26', 145, 1, 0);
INSERT INTO Customer VALUES (983, 'Kavya Pandya_983', 27, 'Male', 'Premium', '2025-09-25', '2026-03-03', 231, 1, 0);
INSERT INTO Customer VALUES (984, 'Krishna Jain_984', 54, 'Female', 'Premium', '2025-06-19', '2026-03-01', 223, 3, 1);
INSERT INTO Customer VALUES (985, 'Deepak Singh_985', 63, 'Female', 'Premium', '2024-09-23', '2026-03-30', 440, 3, 1);
INSERT INTO Customer VALUES (986, 'Ishaan Reddy_986', 49, 'Male', 'Basic', '2026-03-22', '2026-03-01', 234, 3, 0);
INSERT INTO Customer VALUES (987, 'Arjun Chatterjee_987', 65, 'Male', 'Premium', '2025-11-01', '2026-02-22', 277, 1, 1);
INSERT INTO Customer VALUES (988, 'Pooja Jain_988', 46, 'Female', 'Basic', '2024-06-03', '2026-03-23', 367, 1, 0);
INSERT INTO Customer VALUES (989, 'Anaya Nair_989', 64, 'Male', 'Premium', '2025-01-14', '2026-01-22', 387, 2, 1);
INSERT INTO Customer VALUES (990, 'Aanya Mishra_990', 51, 'Male', 'Basic', '2025-11-22', '2026-04-09', 462, 2, 1);
INSERT INTO Customer VALUES (991, 'Meera Iyer_991', 61, 'Female', 'Premium', '2026-01-14', '2026-04-10', 120, 3, 0);
INSERT INTO Customer VALUES (992, 'Myra Kumar_992', 57, 'Other', 'Standard', '2026-02-03', '2026-02-23', 161, 4, 0);
INSERT INTO Customer VALUES (993, 'Nitin Bansal_993', 28, 'Other', 'Premium', '2025-09-18', '2026-04-04', 372, 3, 0);
INSERT INTO Customer VALUES (994, 'Shaurya Shetty_994', 53, 'Female', 'Premium', '2023-10-29', '2026-04-18', 308, 2, 0);
INSERT INTO Customer VALUES (995, 'Pari Ghosh_995', 40, 'Male', 'Basic', '2024-05-23', '2026-03-16', 159, 3, 0);
INSERT INTO Customer VALUES (996, 'Riya Jain_996', 59, 'Male', 'Basic', '2024-04-05', '2026-03-06', 180, 3, 0);
INSERT INTO Customer VALUES (997, 'Vivaan Jain_997', 44, 'Male', 'Basic', '2026-02-02', '2026-03-26', 37, 1, 1);
INSERT INTO Customer VALUES (998, 'Karan Pandya_998', 53, 'Other', 'Standard', '2025-07-12', '2026-01-21', 324, 1, 0);
